configuration;mae
lnum4_168_72_48_24_bi_True_leaky relu;551.3458833480736
lnum4_168_72_24_72_bi_True_leaky relu;659.4478346141028
lnum3_168_168_72_bi_True_tanh;701.4771807068631
lnum4_168_72_48_24_bi_True_tanh;716.205237768777
lnum3_168_48_24_bi_True_tanh;719.4826328482684
lnum3_72_72_168_bi_True_linear;731.436412038135
lnum2_168_72_48_24_bi_True_leaky relu;735.5010629855183
lnum4_72_168_72_48_bi_True_linear;745.4299164590474
lnum4_168_72_24_48_bi_True_leaky relu;748.130487899821
lnum4_168_72_24_168_bi_True_leaky relu;750.900925446538
lnum4_168_48_24_72_bi_True_leaky relu;773.2630837970443
lnum1_168_bi_True_relu;778.8386506092024
lnum4_168_168_24_24_bi_True_leaky relu;789.5982874828582
lnum3_168_48_24_bi_True_linear;804.8331028429219
lnum4_168_72_48_24_bi_True_linear;813.0082141439192
lnum3_168_48_24_bi_True_relu;813.2050076543427
lnum4_72_72_24_48_bi_True_leaky relu;845.3451732082392
lnum3_168_168_24_bi_True_tanh;897.8610761892268
lnum3_24_168_48_bi_True_tanh;996.3317570228036
lnum4_48_168_72_24_bi_True_tanh;1013.0691839915158
lnum2_168_72_bi_True_leaky relu;1021.8397183339141
lnum4_72_48_24_168_bi_True_leaky relu;1112.8001859396995
lnum3_24_24_72_bi_True_relu;1247.1207224321695
lnum4_48_48_24_72_bi_True_tanh;1289.6674313122517
lnum3_48_24_168_bi_True_tanh;1408.39836173537
lnum2_48_72_bi_True_linear;1960.4318478058278
lnum2_48_168_bi_False_relu;1988.7950711881879
lnum1_24_bi_True_relu;2021.3485888588193
lnum3_168_48_24_bi_False_relu;2047.9339600924484
lnum1_24_bi_False_linear;2068.7598222823995
lnum1_72_bi_True_leaky relu;2080.1216620900486
lnum1_24_bi_True_linear;2080.481102288736
lnum1_168_bi_False_linear;2086.7730214875914
lnum2_48_24_bi_False_leaky relu;2091.8008855356
lnum1_48_bi_True_tanh;2092.0945301567886
lnum2_168_72_bi_False_leaky relu;2092.293030916237
lnum2_48_72_bi_False_tanh;2095.447757617873
lnum4_168_72_48_24_bi_False_leaky relu;2096.9784513839677
lnum4_168_72_48_24_bi_False_tanh;2097.101541244723
lnum3_168_48_24_bi_False_tanh;2097.1462156583616
lnum4_168_24_24_168_bi_False_leaky relu;2097.1495769145404
lnum4_168_72_48_72_bi_False_leaky relu;2097.2623160243766
lnum2_168_72_48_24_bi_False_linear;2097.2660968205973
lnum4_48_48_168_168_bi_False_tanh;2097.4961923561896
lnum3_24_48_72_bi_False_tanh;2097.6493893023867
lnum2_72_24_bi_False_linear;2097.662787037382
lnum3_24_72_48_bi_False_linear;2097.973645721476
lnum4_168_24_168_168_bi_False_relu;2098.164840544872
lnum2_168_72_48_24_bi_True_relu;2098.164840544872
lnum1_72_bi_True_relu;2188.643538298211
